,0
78397,1
24562,0
94716,1
43236,0
11434,1
53259,0
3236,0
10423,0
106817,1
96777,1
84398,1
110355,1
68106,1
93490,1
68781,1
102059,1
108394,1
58373,0
13439,0
55298,0
13027,0
84751,1
82690,1
40135,0
27989,0
81543,1
5179,0
40821,0
73623,1
19621,1
75906,1
19570,1
57050,0
56414,0
99399,1
51080,0
56370,0
43924,0
54313,0
70382,1
112675,1
25610,1
76276,1
107773,1
55728,0
83210,1
107739,1
14837,0
34334,0
54893,0
95089,1
112502,1
30798,0
36852,0
82013,1
112946,1
97675,1
1988,0
35111,0
21228,0
43221,0
97069,1
65578,1
25398,0
88023,1
25372,1
42149,0
61583,1
71371,1
39200,0
10666,0
98645,1
30023,1
36670,0
4898,0
110081,1
10696,0
31277,0
37050,0
56439,0
68195,1
62116,1
65452,1
71555,1
44259,0
78170,1
92636,1
14500,0
70910,1
83538,1
110903,1
97438,1
107795,1
56595,0
48312,0
80679,1
97353,1
35769,0
6441,0
98297,1
46432,0
111933,1
21828,0
69188,1
64522,1
22241,0
100692,1
3826,0
76498,1
57498,0
107625,1
61082,0
107683,1
21711,1
17840,0
33249,0
16481,0
41126,0
78594,1
78928,1
63232,1
27182,0
48059,0
50780,0
8589,0
31566,0
32817,0
13532,0
5549,0
86020,1
62179,1
46943,0
58210,0
1951,0
7276,0
28102,0
13186,0
23245,0
112082,1
113626,1
5929,0
106496,1
96850,1
45348,0
94811,1
110204,1
65942,1
55343,0
73182,1
80420,1
11657,0
47076,0
99001,1
9531,0
26680,0
7588,0
105007,1
54745,0
30386,0
51066,0
10914,0
85083,1
18885,0
13952,1
84334,1
108081,1
37126,0
1892,0
82138,1
112749,1
108932,1
31223,0
25522,0
48921,0
77490,1
559,0
90185,1
106343,1
9389,0
41866,0
21271,1
57897,0
38289,0
4071,0
83926,1
9228,0
82257,1
85361,1
107503,1
66348,1
114105,1
47958,0
57764,0
104380,1
89813,1
29224,0
3040,0
43889,0
24355,0
10111,0
53537,0
1202,0
39876,0
106281,1
91052,1
1690,0
108215,1
47961,0
108022,1
2914,0
31495,0
68929,1
109011,1
46294,0
64199,1
11580,1
12536,1
68248,1
60146,0
50004,0
108254,1
24807,0
10814,1
100911,1
35925,0
88810,1
12661,0
72736,1
506,0
12396,0
81161,1
14225,0
8817,0
36965,0
96481,1
74788,1
46195,0
75524,1
10239,0
77149,1
92506,1
88248,1
92375,1
26543,0
18102,0
8716,0
63773,1
5620,1
45508,0
45197,0
64790,1
50740,0
70133,1
110549,1
47458,0
19785,0
102721,1
69177,1
3163,0
30488,0
88718,1
80980,1
84307,1
50893,0
98172,1
40458,0
27873,0
45498,0
42070,0
94154,1
112553,1
26314,0
21168,0
85740,1
30344,0
78168,1
113907,1
9951,0
3191,0
85028,1
51680,0
73275,1
70029,1
11273,1
26144,0
88460,1
90769,1
84319,1
14370,0
99625,1
91188,1
64564,1
46036,0
88323,1
77799,1
85624,1
49933,0
101662,1
2258,0
89262,1
111326,1
99409,1
6599,0
48276,0
85095,1
